"PROD_EST","COBERTURA","ANIO","ID_MES","MARCA","MODELO","TIPO","SEGMENTO","UNI_VEH"
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"02","Nissan","Tsuru 4 PTS","Automóviles","Subcompactos",8201
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"02","Renault","Clio","Automóviles","Subcompactos",676
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"02","Renault","Scenic","Automóviles","Compactos",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"02","Toyota","Tacoma-","Camiones ligeros","Pick Ups",6131
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"02","Toyota","Yaris Hatchback-","Automóviles","Subcompactos",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"02","Volkswagen","Beetle","Automóviles","Compactos",3920
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"02","Volkswagen","Beetle Cabrio","Automóviles","Compactos",3411
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"02","Volkswagen","Bora","Automóviles","Compactos",18133
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"02","Volkswagen","Jetta TDI","Automóviles","Compactos",270
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"02","Volkswagen","Jetta 4 PTAS","Automóviles","Compactos",4416
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"03","Chrysler","PT Cruiser","Automóviles","Compactos",14824
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"03","Chrysler","RAM 1500-","Camiones ligeros","Pick Ups",2399
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"03","Chrysler","RAM 2500-","Camiones ligeros","Pick Ups",7303
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"03","Chrysler","RAM 3500","Camiones ligeros","Pick Ups",8197
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"03","Chrysler","RAM 4000","Camiones ligeros","Pick Ups",649
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"03","Ford Motor","F 150","Camiones ligeros","Pick Ups",709
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"03","Ford Motor","F 250","Camiones ligeros","Pick Ups",951
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"03","Ford Motor","F 350","Camiones ligeros","Pick Ups",1341
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"03","Ford Motor","F 450","Camiones ligeros","Pick Ups",192
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"03","Ford Motor","F 550","Camiones ligeros","Pick Ups",48
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"03","Ford Motor","Fiesta Ikon","Automóviles","Subcompactos",506
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"03","Ford Motor","Fusion","Automóviles","Compactos",19509
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"03","Ford Motor","H - 215","Camiones ligeros","Pick Ups",1414
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"03","Ford Motor","LCF","Camiones ligeros","Pick Ups",330
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"03","Ford Motor","Milan-","Automóviles","De Lujo",4107
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"03","Ford Motor","MKZ-","Automóviles","De Lujo",4446
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"03","General Motors","Avalanche UUV","Camiones ligeros","Pick Ups",2214
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"03","General Motors","Chevy 3 Ptas","Automóviles","Subcompactos",1518
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"03","General Motors","Chevy 4 PTAS","Automóviles","Subcompactos",1803
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"03","General Motors","Chevy 5 Ptas","Automóviles","Subcompactos",2281
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"03","General Motors","Escalade ESV SUV AWD","Camiones ligeros","Minivans",65
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"03","General Motors","Escalade EXT UUV 4X4","Camiones ligeros","Minivans",87
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"03","General Motors","HHR 5 PTAS","Automóviles","Compactos",11373
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"03","General Motors","Kodiak Chassis Cab Class 6 PBV23,900","Camiones ligeros","Pick Ups",15
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"03","General Motors","Kodiak Chassis Cab Class 7 PBV33,000","Camiones ligeros","Pick Ups",38
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"03","General Motors","Kodiak Chassis Cab Class 8 PBV36,000","Camiones ligeros","Pick Ups",84
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"03","General Motors","Rendezvous","Camiones ligeros","Minivans",4708
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"03","General Motors","Silverado 1500 Cabina Regular-","Camiones ligeros","Pick Ups",690
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"03","General Motors","Silverado 2500 Cabina Regular-","Camiones ligeros","Pick Ups",13321
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"03","General Motors","Silverado 3500 Chassis Cab","Camiones ligeros","Pick Ups",552
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"03","General Motors","Silverado 3500 HD Chassis Cab Heavy Duty","Camiones ligeros","Pick Ups",137
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"03","General Motors","Suburban SUV-","Camiones ligeros","SUV's",4723
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"03","Honda","Accord 4PTS-","Automóviles","De Lujo",2125
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"03","Nissan","Chasis Largo","Camiones ligeros","Pick Ups",2985
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"03","Nissan","Estacas Largo","Camiones ligeros","Pick Ups",231
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"03","Nissan","Pickup Doble Cabina","Camiones ligeros","Pick Ups",853
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"03","Nissan","Pickup King Cab STD","Camiones ligeros","Pick Ups",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"03","Nissan","Pickup Largo","Camiones ligeros","Pick Ups",1050
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"03","Nissan","Platina 4 PTS","Automóviles","Subcompactos",6558
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"03","Nissan","Sentra 4 PTS","Automóviles","Compactos",19021
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"03","Nissan","Tsubame","Automóviles","Compactos",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"03","Nissan","Tsuru 4 PTS","Automóviles","Subcompactos",8645
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"03","Renault","Clio","Automóviles","Subcompactos",940
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"03","Renault","Scenic","Automóviles","Compactos",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"03","Toyota","Tacoma-","Camiones ligeros","Pick Ups",2925
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"03","Toyota","Yaris Hatchback-","Automóviles","Subcompactos",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"03","Volkswagen","Beetle","Automóviles","Compactos",4683
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"03","Volkswagen","Beetle Cabrio","Automóviles","Compactos",4120
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"03","Volkswagen","Bora","Automóviles","Compactos",22299
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"03","Volkswagen","Jetta TDI","Automóviles","Compactos",120
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"03","Volkswagen","Jetta 4 PTAS","Automóviles","Compactos",5554
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"04","Chrysler","PT Cruiser","Automóviles","Compactos",13107
