"PROD_EST","COBERTURA","ANIO","ID_MES","MARCA","MODELO","TIPO","SEGMENTO","UNI_VEH"
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","General Motors","Kodiak Chassis Cab Class 6 PBV23,900","Camiones ligeros","Pick Ups",18
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","General Motors","Kodiak Chassis Cab Class 7 PBV33,000","Camiones ligeros","Pick Ups",81
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","General Motors","Kodiak Chassis Cab Class 8 PBV36,000","Camiones ligeros","Pick Ups",137
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","General Motors","Rendezvous","Camiones ligeros","Minivans",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","General Motors","Silverado 1500 Cabina Regular-","Camiones ligeros","Pick Ups",471
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","General Motors","Silverado 2500 Cabina Regular-","Camiones ligeros","Pick Ups",9884
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","General Motors","Silverado 3500 Chassis Cab","Camiones ligeros","Pick Ups",397
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","General Motors","Silverado 3500 HD Chassis Cab Heavy Duty","Camiones ligeros","Pick Ups",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","General Motors","Suburban SUV-","Camiones ligeros","SUV's",2663
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","General Motors","VUE","Camiones ligeros","SUV's",74
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","Honda","Accord 4PTS-","Automóviles","De Lujo",1912
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","Nissan","Chasis Largo","Camiones ligeros","Pick Ups",1988
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","Nissan","Estacas Largo","Camiones ligeros","Pick Ups",179
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","Nissan","Pickup Doble Cabina","Camiones ligeros","Pick Ups",1005
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","Nissan","Pickup King Cab STD","Camiones ligeros","Pick Ups",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","Nissan","Pickup Largo","Camiones ligeros","Pick Ups",347
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","Nissan","Platina 4 PTS","Automóviles","Subcompactos",1194
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","Nissan","Sentra","Automóviles","Compactos",14775
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","Nissan","Sentra 4 PTS","Automóviles","Compactos",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","Nissan","Tiida Sedan","Automóviles","Compactos",4009
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","Nissan","Tiida 5 PTS","Automóviles","Compactos",12406
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","Nissan","Tsubame","Automóviles","Compactos",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","Nissan","Tsuru 4 PTS","Automóviles","Subcompactos",4188
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","Renault","Clio","Automóviles","Subcompactos",659
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","Renault","Scenic","Automóviles","Compactos",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","Toyota","Tacoma-","Camiones ligeros","Pick Ups",2332
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","Volkswagen","Beetle","Automóviles","Compactos",3313
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","Volkswagen","Beetle Cabrio","Automóviles","Compactos",1727
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","Volkswagen","Bora","Automóviles","Compactos",17266
