Concepto,undefined 2003,undefined 2004,undefined 2005,undefined 2006,undefined 2007,undefined 2008,undefined 2009,undefined 2010,undefined 2011,undefined 2012,undefined 2013,undefined 2014,undefined 2015,undefined 2016,undefined 2017,undefined 2018 R,undefined 2019 R
Puebla,395907.258,405907.94299999997,428179.294,447201.40300000005,465818.72199999995,468969.4710000001,432578.67600000004,469967.8400000001,493353.22399999993,524226.05799999996,519256.5349999999,526200.669,540604.128,555309.088,589080.273,603843.688,596318.409
Querétaro,212106.713,227917.275,243311.19,258448.27100000004,271622.05100000004,278348.405,270311.398,287403.169,308865.22799999994,318294.372,319989.72800000006,342666.454,362418.9110000001,377947.864,395109.80799999996,406744.73,403161.492
Quintana Roo,144233.02000000002,156941.59900000002,163681.664,174364.522,192904.582,203018.581,185671.746,195148.828,206053.84900000002,215709.87099999996,225272.667,233252.369,244081.49599999998,261497.59800000006,272211.72599999997,286533.451,290271.733
San Luis Potosí,224280.26700000002,237464.46500000003,247240.38799999998,258649.446,264315.631,270024.005,255845.961,269397.22,283881.7459999999,297293.96199999994,307896.47,316716.343,329359.358,342065.043,354677.904,369840.93999999994,368700.80299999996
Sinaloa,268247.066,284658.629,285708.482,294951.69499999995,305622.537,316380.798,303066.17499999993,312655.113,318762.63800000004,330191.387,334097.30700000003,340077.85699999996,358848.31399999995,376438.398,380987.655,390894.97000000003,399005.392
Sonora,365533.727,384484.325,404881.254,429625.189,435397.343,436717.189,410374.27099999995,431501.919,471510.171,495926.03099999996,510315.674,522896.949,549606.8230000001,578945.379,575986.463,581413.804,580480.5819999999
Tabasco,374891.404,391243.029,421079.732,445309.61600000004,454079.113,475202.82700000005,495944.159,525011.917,549751.1309999999,564003.811,553628.2049999998,564794.2379999999,562212.3049999999,534685.495,509388.36100000003,467226.44600000005,448090.72
Tamaulipas,391574.439,410112.74600000004,436490.981,449609.24,464007.812,483350.662,439739.32300000003,448215.116,456768.5349999999,466371.322,473241.40099999995,477891.309,492586.952,500458.04800000007,498369.426,508491.92799999996,517770.157
Tlaxcala,83254.186,89789.73,79279.27900000001,77889.93400000001,79019.573,83246.79000000001,81739.53,88809.88600000003,86031.739,89918.601,87657.644,90362.51800000001,96458.62,96859.66700000002,95585.22700000001,98881.59900000002,103823.011
Veracruz de Ignacio de la Llave,613590.201,643859.491,648906.398,684557.3679999999,705608.578,704314.0299999999,688981.395,718148.55,746817.7309999999,779730.4340000001,781357.2760000001,780785.3559999999,785745.9309999999,784930.108,776072.856,794018.6469999999,801505.7019999999
Yucatán,161636.49699999997,169013.74699999997,176907.681,185462.602,191217.07499999998,193158.623,189365.45799999998,196149.981,202893.85,214700.599,215788.237,223858.76799999998,230374.52599999995,242505.30599999998,252391.12399999998,261283.809,264440.67
Zacatecas,101406.31,105664.685,105661.44099999999,112108.36799999999,115935.139,126383.57700000002,130512.,144730.56,144876.886,148728.64,146858.788,156808.457,159905.359,157998.05599999998,157621.131,157631.239,151751.70800000004
Participación porcentual,,,,,,,,,,,,,,,,,
a  B.1bP - Producto interno bruto,,,,,,,,,,,,,,,,,
"D.21-D.31 - Impuestos sobre los productos, netos",,,,,,,,,,,,,,,,,
a  B.1bV - Valor agregado bruto,,,,,,,,,,,,,,,,,
Estados Unidos Mexicanos,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.
Aguascalientes,0.965018068521,0.969712514672,0.971162189501,0.991371894695,1.054442417377,1.048063138287,1.049591192531,1.060486085735,1.068409969843,1.086812573927,1.104805286746,1.185541740317,1.1955829474519999,1.246411552439,1.250478614902,1.270483194241,1.260065310142
Baja California,3.181075554648,3.241250767984,3.244060447824,3.273323772529,3.238152393523,3.176867992478,2.987467813441,2.983212049701,2.962534872997,2.95525042462,2.976002100045,2.975771729247,3.084907237226,3.153546676615,3.192921524024,3.197771038212,3.258568763473
Baja California Sur,0.60551760699,0.624840728837,0.654775929743,0.672263600713,0.745025729732,0.756628462855,0.79377541922,0.770995756029,0.771103323481,0.760455510819,0.73534769215,0.722137789191,0.787245228743,0.788742989311,0.856193088752,0.978464521295,0.899893565234
Campeche,8.340652530484,8.118814044088,7.780606944043,7.280542755067,6.647570045707,6.021285140487,5.720443576897,5.253257686317,4.883797993403,4.632152235362,4.609746131296,4.26946246041,3.845761140419,3.536643560186,3.103799735764,2.991117904597,2.928340254272
Coahuila de Zaragoza,3.476151466026,3.441534343902,3.437799433728,3.448962448816,3.511030997916,3.459940261796,3.086976874888,3.413726995952,3.517170380607,3.561350971119,3.440644805258,3.480498296915,3.401377490486,3.369597642599,3.472179293142,3.435566980675,3.419341830876
